Query, Refcode,DIST1 
3,AGUKAO,1.794
3,AGUWEE,2.241
3,AHEQAG,1.972
3,AHEQAG,2.036
3,AHEQAG,2.012
3,AHEQAG,2.033
3,AHEQAG,2.002
3,AHEQAG,2.036
3,AHEQAG,1.989
3,AHEQAG,1.923
3,AHEQAG,1.980
3,AHEQAG,1.980
3,AHEQAG,2.070
3,AHEQAG,2.040
3,AHEQAG,1.952
3,AHEQAG,1.970
3,AHEQAG,1.957
3,AHEQAG,2.012
3,AHEQAG,2.055
3,AHEQAG,2.087
3,AHEQAG,1.967
3,AHEQAG,1.980
3,AHEQAG,2.034
3,AHEQAG,2.038
3,AHEQAG,2.079
3,AHEQAG,1.997
3,AHEQAG,1.956
3,AHEQAG,2.008
3,AHEQAG,1.998
3,AHEQAG,2.013
3,AHEQAG,2.062
3,AHEQAG,2.070
3,AHEQEK,2.221
3,AHEQEK,1.922
3,AHEQEK,1.935
3,AHEQEK,1.950
3,AHEQEK,1.857
3,AHEQEK,1.809
3,AHEQEK,1.874
3,AHEQEK,2.299
3,AHEQEK,1.936
3,AHEQEK,2.026
3,AHEQEK,2.182
3,AHEQEK,1.862
3,AHEQEK,1.849
3,AHEQEK,2.330
3,AHEQEK,1.980
3,AHEQEK,2.016
3,AHEQEK,2.236
3,AHEQEK,1.856
3,AHEQEK,1.870
3,AHEQEK,2.211
3,AHEQEK,1.986
3,AHEQEK,1.963
3,AHEQEK,2.109
3,AHEQEK,1.843
3,AHEQEK,1.824
3,AHEQEK,2.137
3,AHEQEK,1.936
3,AHEQEK,1.950
3,AHEQEK,1.885
3,AHEQEK,1.835
3,AHEQEK,2.286
3,AHEQEK,1.924
3,AHEQEK,1.921
3,AHEQEK,2.149
3,AHEQEK,1.910
3,AHEQEK,1.903
3,AHEQEK,2.166
3,AHEQEK,1.966
3,AHEQEK,1.964
3,AHEQEK,1.900
3,AHEQEK,1.869
3,AHEQEK,1.927
3,AHEQEK,2.039
3,AHEQEK,1.920
3,AHEQEK,1.917
3,AHEQEK,1.872
3,AHEQEK,1.898
3,AHEQEK,2.057
3,AHEQEK,1.929
3,AHESIQ,1.973
3,AHESIQ,1.919
3,AHESIQ,1.966
3,AHESIQ,1.930
3,AHESIQ,1.864
3,AHESIQ,1.788
3,AHESIQ,2.034
3,AHESIQ,1.911
3,AHESIQ,1.954
3,AHESIQ,1.904
3,AHESIQ,1.863
3,AHESIQ,1.764
3,AHESIQ,2.060
3,AHESIQ,1.953
3,AHESIQ,1.930
3,AHESIQ,1.876
3,AHESIQ,1.831
3,AHESIQ,1.806
3,AHESIQ,2.488
3,AHESIQ,2.046
3,AHESIQ,2.086
3,AHESIQ,2.036
3,AHESIQ,1.978
3,AHESIQ,2.406
3,AHESIQ,2.035
3,AHESIQ,1.983
3,AHESIQ,1.948
3,AHESIQ,1.906
3,AHESIQ,2.513
3,AHESIQ,2.087
3,AHESIQ,2.102
3,AHESIQ,1.971
3,AHESIQ,1.996
3,AHIZIB,1.887
3,AHIZIB,1.879
3,AHIZIB,2.259
3,AHIZIB,2.335
3,AHIZIB,1.880
3,AHIZIB,1.803
3,AHIZIB,2.312
3,AHIZIB,2.285
3,AHIZIB,1.872
3,AHIZIB,1.826
3,AHIZIB,2.306
3,AHIZIB,2.325
3,AHIZIB01,1.881
3,AHIZIB01,1.802
3,AHIZIB01,2.294
3,AHIZIB01,2.310
3,AHIZIB01,1.860
3,AHIZIB01,1.866
3,AHIZIB01,2.238
3,AHIZIB01,2.338
3,AHIZIB01,1.895
3,AHIZIB01,1.806
3,AHIZIB01,2.316
3,AHIZIB01,2.329
3,AHIZOH,2.117
3,AHIZOH,2.114
3,AHMALM,2.230
3,AHMALM,1.988
3,AHMALM,2.201
3,AHMALM01,2.249
3,AHMALM01,2.167
3,AHMALM01,2.088
3,AHMNAC,1.826
3,AHMNAC,2.251
3,AHMNAC,2.007
3,AHMNAC,2.189
3,AHMNAC,2.044
3,AHMNAC,1.957
3,AHMNAC,2.089
3,AHMNAC,1.952
3,AHMNAC,1.957
3,AHMNAC,2.044
3,AHMNAC,2.060
3,AHMNAC,2.288
3,AHMNAC,1.814
3,AHMNAC,1.999
3,AHMNAC,2.103
3,AHMNAC,2.263
3,AHMNAC,2.146
3,AHMNAC,2.016
3,AHOBAB,2.146
3,AHOBAB,2.146
3,AHOSEV,2.073
3,AHOSEV,2.040
3,AHOSEV,2.041
3,AHOSEV,2.048
3,AHOSEV,1.991
3,AHOSEV,2.054
3,AHOSEV,2.067
3,AHOSEV,1.994
3,AHOSIZ,2.029
3,AHOSIZ,2.049
3,AHOSIZ,2.046
3,AHOSIZ,2.012
3,AHOTAS,1.978
3,AHOTAS,1.996
3,AHOTAS,2.057
3,AHOTAS,1.993
3,AHUCAI,1.823
3,AHUCAI,1.898
3,AJEGAX,1.918
3,AJEGAX,2.021
3,AJEGAX,1.937
3,AJEGAX,1.919
3,AJEGAX,1.978
3,AJEGAX,1.925
3,AJEHUS,2.372
3,AJICUS,2.208
3,AJICUS,2.115
3,AJICUS,2.203
3,AJICUS,2.094
3,AJICUS,2.143
3,AJICUS,2.154
3,AJICUS,2.164
3,AJICUS,2.174
3,AJICUS,2.223
3,AJIHOR,2.248
3,AJIHOR,2.325
3,AJIMAI,1.955
3,AJIMAI,1.827
3,AJIMAI,2.239
3,AJISIV,1.947
3,AJISIV,2.218
3,AJISIV,1.845
3,AJISIV,1.856
3,AJISIV,2.315
3,AJISIV,2.125
3,AJISIV,2.239
3,AJISIV,2.259
3,AJISIV,2.343
3,AJISOB,2.220
3,AJISOB,1.923
3,AJISOB,1.911
3,AJISOB,1.902
3,AJISOB,2.270
3,AJISOB,2.279
3,AJISOB,2.212
3,AJISOB,2.340
3,AJISOB,2.330
3,AJISOB,2.254
3,AJISUH,2.081
3,AJISUH,1.908
3,AJISUH,2.120
3,AJISUH,1.906
3,AJISUH,2.230
3,AJISUH,2.215
3,AJISUH,2.132
3,AJISUH,2.089
3,AJISUH,2.152
3,AJISUH,2.155
3,AJITIW,1.872
3,AJITIW,2.255
3,AJITIW,1.975
3,AJITIW,1.857
3,AJITIW,2.274
3,AJITIW,1.912
3,AJITIW,2.193
3,AJITIW,2.320
3,AJITIW,2.123
3,AJITIW,2.170
3,AJITIW,2.105
3,AJITIW,2.143
3,AJITIW,2.408
3,AJITIW,2.092
3,AJITIW,2.155
3,AJITIW,2.118
3,AJIZOI,2.260
3,AJIZOI,2.237
3,AJIZOI,2.171
3,AJIZOI,2.137
3,AJOBOQ,2.066
3,AJOBOQ,2.176
3,AJOBOQ,2.178
3,AJOBOQ,2.206
3,AJOPUK,2.109
3,AJOPUK,2.161
3,AJOPUK,2.207
